Level, Q, C, X, CycleLength
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
9, 5, 3, -2, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, 159, 10
8, 5, 9, 258, 10
9, 5, 1, -4, 3
9, 5, 3, -12, 3
9, 5, 3, -12, 3
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -36, 3
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, -6, 2
8, 5, 9, 234, 10
9, 5, 5, -20, 3
8, 5, 9, -36, 3
9, 5, 5, -20, 3
8, 5, 9, 24, 4
8, 5, 9, -36, 3
8, 5, 9, -36, 3
9, 5, 7, -28, 3
9, 5, 7, -28, 3
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 7, -28, 3
9, 5, 7, -28, 3
9, 5, 3, -12, 3
9, 5, 5, -20, 3
9, 5, 3, -2, 2
9, 5, 7, -28, 3
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 1, -4, 3
9, 5, 3, -12, 3
9, 5, 5, -20, 3
9, 5, 3, -12, 3
9, 5, 5, -20, 3
9, 5, 7, -28, 3
9, 5, 3, -12, 3
9, 5, 5, -20, 3
9, 5, 3, -12, 3
9, 5, 3, -12, 3
9, 5, 3, 3, 7
9, 5, 5, -20, 3
9, 5, 5, -20, 3
9, 5, 5, 5, 7
9, 5, 7, -28, 3
9, 5, 3, -12, 3
9, 5, 7, -28, 3
9, 5, 5, -20, 3
9, 5, 7, -28, 3
9, 5, 7, -28, 3
9, 5, 3, -12, 3
9, 5, 7, 7, 7
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 5, -20, 3
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 7, -28, 3
9, 5, 7, -28, 3
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 3, -12, 3
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 3, -2, 2
9, 5, 5, -20, 3
9, 5, 3, -12, 3
9, 5, 7, -28, 3
9, 5, 5, -20, 3
9, 5, 3, -12, 3
9, 5, 3, -12, 3
9, 5, 5, -20, 3
9, 5, 5, -20, 3
2, 7, 3, 3, 4
2, 7, 5, 5, 4
2, 7, 7, 7, 4
2, 7, 9, -12, 3
2, 7, 9, 9, 4
3, 7, 1, 2, 4
3, 7, 3, -4, 3
3, 7, 3, 6, 4
3, 7, 5, -2, 2
3, 7, 5, 13, 8
3, 7, 5, 10, 4
3, 7, 5, 24, 8
3, 7, 7, 14, 4
3, 7, 9, -12, 3
3, 7, 9, -12, 3
3, 7, 9, -12, 3
3, 7, 9, -12, 3
3, 7, 9, 18, 4
9, 5, 9, -6, 2
9, 5, 9, -6, 2
4, 7, 3, -4, 3
4, 7, 3, -4, 3
4, 7, 3, -4, 3
4, 7, 3, 3, 4
9, 5, 9, -6, 2
4, 7, 5, 5, 4
4, 7, 7, 7, 4
4, 7, 9, -12, 3
4, 7, 9, -12, 3
4, 7, 9, -12, 3
4, 7, 9, -12, 3
4, 7, 9, 9, 4
9, 5, 9, -6, 2
9, 5, 9, -6, 2
4, 7, 9, -12, 3
4, 7, 9, -12, 3
5, 7, 3, -4, 3
5, 7, 3, -4, 3
5, 7, 3, -4, 3
5, 7, 3, -4, 3
5, 7, 3, -4, 3
5, 7, 9, -12, 3
5, 7, 9, -12, 3
5, 7, 9, -12, 3
5, 7, 9, -12, 3
5, 7, 9, -12, 3
5, 7, 9, -12, 3
5, 7, 9, -12, 3
5, 7, 9, -12, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -36, 3
6, 7, 3, -4, 3
6, 7, 3, -4, 3
6, 7, 5, -2, 2
6, 7, 3, -4, 3
6, 7, 3, -4, 3
6, 7, 9, -12, 3
6, 7, 9, -12, 3
6, 7, 9, -12, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
6, 7, 9, -12, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
6, 7, 9, -12, 3
6, 7, 9, -12, 3
6, 7, 9, -12, 3
6, 7, 9, -12, 3
6, 7, 9, -12, 3
9, 5, 7, -28, 3
6, 7, 9, -12, 3
6, 7, 9, -12, 3
6, 7, 9, -12, 3
9, 5, 9, -36, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
7, 7, 3, -4, 3
7, 7, 3, -4, 3
7, 7, 3, -4, 3
7, 7, 3, -4, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
7, 7, 3, -4, 3
9, 5, 9, -36, 3
9, 5, 9, -36, 3
9, 5, 7, -28, 3
9, 5, 7, -28, 3
7, 7, 3, -4, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 5, -2, 2
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
7, 7, 9, -12, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
7, 7, 9, -12, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
7, 7, 9, -12, 3
9, 5, 9, -36, 3
8, 7, 3, -4, 3
8, 7, 3, -4, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
8, 7, 3, -4, 3
9, 5, 9, -56, 6
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
8, 7, 3, -4, 3
9, 5, 9, -36, 3
8, 7, 3, -4, 3
9, 5, 9, -36, 3
9, 5, 9, -36, 3
9, 5, 9, -36, 3
9, 5, 9, -36, 3
9, 5, 9, 9, 7
9, 5, 9, -56, 6
9, 5, 9, -36, 3
9, 5, 9, -36, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
8, 7, 3, -4, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -36, 3
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
9, 5, 9, -6, 2
8, 7, 3, -4, 3
9, 5, 9, -36, 3
9, 5, 9, -36, 3
9, 5, 9, -36, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
9, 7, 3, -4, 3
8, 7, 9, -12, 3
9, 7, 3, -4, 3
9, 7, 3, -4, 3
9, 7, 3, -4, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
9, 7, 3, -4, 3
9, 7, 3, -4, 3
8, 7, 9, -12, 3
9, 7, 3, -4, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
8, 7, 9, -12, 3
